date,sport,game,pick,market_family,posted_line,posted_odds,stated_units,final_score,result,result_verified,displayed_result_error,profit_arithmetic_verified,opener,close,clv_direction,clv_magnitude,ticket_pct,handle_pct,ticket_handle_gap,high_limit_reference,high_limit_move,liquidity_class,micks_reconstructed_fair,independent_model_1,independent_model_2,market_dislocation_pct,fundamental_edge,market_regime,trigger_tags,source_notes
2026-07-03,MLB,San Diego Padres at Los Angeles Dodgers,San Diego Padres +1.5,Run Line,+1.5,-105,4,4-3,W,Y,N,UNKNOWN,UNKNOWN,+1.5 -104 to -110,Neutral,within ~5 cents,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Derivative protected a large underdog; Action fundamental handicap preferred Dodgers -1.5 and showed substantial starting-pitcher edge to LAD",YELLOW,DERIVATIVE_EXPRESSION|REPUTATION_PRICE_DISLOCATION,"Action/FanDuel had Padres +1.5 around -104 to -110. AI-v3 chose the protected derivative rather than +200-ish ML despite independent analysis favoring LAD. Winner indicates market-expression choice can matter even when mainstream fundamental opinion disagrees."
2026-07-07,MLB,Seattle Mariners at Miami Marlins,Seattle Mariners ML,Moneyline,ML,+105,4,5-6,L,Y,Y,UNKNOWN,UNKNOWN,+103 to +105,Neutral,~0-2 cents,38,62,24,UNKNOWN,UNKNOWN,High,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Action/DraftKings contemporaneous analysis favored Miami; Max Meyer 9-1 with 2.53-2.68 ERA and Miami bullpen/offense/defense support",YELLOW,PLUS_MONEY_VALUE|CONTRARIAN_TO_EXTERNAL,"Doc displayed 8-5 but Action archived final was Miami 6 Seattle 5; loss grade remains correct. Action public panel showed 38/62 but team attribution is not clear enough for a sharp-money claim. This is a negative example where plus-money value lacked independent fundamental confirmation."
2026-07-08,MLB,Chicago Cubs at Baltimore Orioles,Chicago Cubs ML,Moneyline,ML,+115,4,9-7,W,Y,N,UNKNOWN,UNKNOWN,+115,Neutral,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,"DailyFantasyFuel displayed CHC 56% win probability despite +115 market price","Same source score projection favored BAL 5.3-4.7",~9.5,"Strong internal inconsistency across external model outputs; market priced Cubs as dog",YELLOW,PLUS_MONEY_VALUE|MODEL_MARKET_DISLOCATION|MODEL_DISAGREEMENT,"StatMuse confirms Cubs +115 and 9-7 win. DailyFantasyFuel simultaneously showed a 56% Cubs win probability and a 5.3-4.7 Baltimore score projection; this is useful evidence that model agreement must be audited rather than counted blindly."
2026-07-22,MLB,Los Angeles Dodgers at Philadelphia Phillies,Philadelphia Phillies ML,Moneyline,ML,+105,4,5-9,L,Y,N,UNKNOWN,UNKNOWN,+105 to +110,Neutral/Beat Close,0-5 cents,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,"DailyFantasyFuel displayed PHI 53% win probability at +105","PropBetExperts projected starting pitchers Lauer 4.94 ERA vs Nola 5.51",~4.2,"One external probability model favored PHI while score projection still slightly favored LAD",YELLOW,PLUS_MONEY_VALUE|MODEL_MARKET_DISLOCATION|MODEL_DISAGREEMENT,"Multiple archived sources confirm Phillies around +105 to +110. DailyFantasyFuel gave PHI 53% despite +105, but its score projection favored LAD 4.9-4.6. The bet lost, reinforcing the need for multiple independent calculated agreements instead of one model output."
2026-07-26,MLB,Los Angeles Angels at San Francisco Giants,San Francisco Giants ML,Moneyline,ML,+100,3,3-4,L,Y,N,UNKNOWN,UNKNOWN,+101 to +113,UNKNOWN,source dispersion,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,"Dimers model SF 50.6% with best price +113","FanDuel/DraftKings market around -102 to +113 depending snapshot",~0.6 at +100,"Very small modeled edge at Doc price; rookie/uncertain starter Carson Whisenhunt",YELLOW,PLUS_MONEY_VALUE|WEAK_MODEL_DISLOCATION,"StatMuse/FanDuel confirm 4-3 Angels win. Dimers simulation made SF 50.6%, only a ~0.6-point edge at even money, although +113 would have been more attractive. This loss supports a minimum-dislocation gate."
2026-08-03,MLB,San Francisco Giants at Texas Rangers,San Francisco Giants ML,Moneyline,ML,+110,4,5-1,W,Y,N,UNKNOWN,UNKNOWN,+113,Lost Close,~3 cents,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Logan Webb matchup plus weak-team reputation discount,YELLOW,REPUTATION_PRICE_DISLOCATION|PLUS_MONEY_VALUE,"Action archived game page showed SF +113/+114 and an independent Action analyst also selected SF +114; posted +110 did not appear to be a steam-following entry."
2026-08-04,MLB,Toronto Blue Jays at Houston Astros,Houston Astros ML,Moneyline,ML,-125,4,7-2,W,Y,N,UNKNOWN,UNKNOWN,-129 to -130,Beat Close,~4-5 cents,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YELLOW,FAVORITE_PRICE_VALUE|MARKET_CONFIRMATION,"StatMuse archived consensus closing prices show Houston about -129/-130 while Doc posted -125, indicating modest favorable CLV."
2026-08-05,MLB,Detroit Tigers at Seattle Mariners,Under 7.5,Full Game Total,7.5,-105,4,4-2,W,Y,N,UNKNOWN,UNKNOWN,-110 to -102,UNKNOWN,source snapshots conflict,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Both starters had materially better xERA than surface ERA; Woo 4.56 ERA/3.53 xERA and Anderson 4.24/3.38",YELLOW,UNDERLYING_METRICS_VS_SURFACE|TOTAL_PROJECTION_GAP,"Action listed the total at 7.5 and documented materially better underlying run-prevention estimators than surface ERA. Historical price snapshots disagree between about U7.5 -110 and -102, so CLV remains unverified."
2026-08-07,MLB,Los Angeles Dodgers at Arizona Diamondbacks,Under 9,Full Game Total,9,-120,4,4-3,W,Y,N,UNKNOWN,UNKNOWN,-108,Lost Close,~12 cents,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YELLOW,TOTAL_PROJECTION_GAP,"Action archived page shows the same U9 around -108 near close while Doc listed -120. The bet won despite apparently poor price CLV, evidence that AI-v3 does not require every release to follow favorable market movement."
2026-08-09,MLB,Detroit Tigers at San Francisco Giants,San Francisco Giants ML,Moneyline,ML,+115,4,1-3,L,Y,N,UNKNOWN,UNKNOWN,+102 to +115,UNKNOWN,source disagreement,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YELLOW,PLUS_MONEY_VALUE|REPUTATION_PRICE_DISLOCATION,"VegasInsider shows SF +115 while StatMuse consensus close shows roughly +102. If the latter is the proper comparable close Doc beat market materially despite losing; source conflict prevents final CLV label."
